id,title,date,labels,type
50920,ابلاغ سیاست‌های کلی برنامه هفتم با اولویت پیشرفت اقتصادی توأم با عدالت,1401/06/21,,eblaghie
50009,ابلاغ سیاست‌های کلی تأمین اجتماعی,1401/01/21,,eblaghie
45441,ابلاغیه رهبر انقلاب اسلامی در موافقت با آزادسازی سهام عدالت,1399/02/09,اصل ۴۴ قانون اساسی؛ سیاستهای کلی نظام؛ ,eblaghie
43578,ابلاغ سیاست‌های کلی نظام قانون‌گذاری,1398/07/06,سیاستهای کلی نظام؛ خلاء های قانونگذاری؛ قانون‌گذاری؛ ,eblaghie
40693,فراخوان رهبر انقلاب برای تکمیل و ارتقای الگوی پایه اسلامی ایرانی پیشرفت,1397/07/22,الگوی پیشرفت اسلامی ایرانی؛ سیاستهای کلی نظام؛ اساتید دانشگاه؛ وظیفه دولت؛ شورای عالی امنیت ملی؛ وظیفه دانشجویان؛ مرکز الگوی اسلامی ایرانی پیشرفت؛ ,eblaghie
34642,ابلاغ سیاست‌های کلی «انتخابات»,1395/07/24,اخلاق انتخاباتی؛ مفاسد اقتصادی؛ اقتدار ملی؛ منافع ملی؛ سیاستهای کلی نظام؛ انتخابات سالم؛ امنیت ملّی؛ سلامت انتخابات؛ امنیت انتخابات؛ وحدت ملی؛ ,eblaghie
34254,ابلاغ سیاست‌های کلی «خانواده»,1395/06/13,ازدواج؛ سیاستهای کلی نظام؛ اخلاق اجتماعی؛ افزایش جمعیت؛ سبک زندگی؛ مسئله خانواده؛ نقش همسری؛ فرزندآوری؛ ,eblaghie
31422,ابلاغ سیاست‌های کلی «محیط زیست»,1394/08/26,سیاستهای کلی نظام؛ محیط زیست؛ ,eblaghie
30128,ابلاغ سیاست‌های کلی برنامه ششم توسعه,1394/04/09,سیاستهای کلی نظام؛ ,eblaghie
27599,ابلاغ سیاست‌های کلی «علم و فناوری»,1393/06/29,آزاداندیشی؛ جنبش نرم افزاری؛ سند چشم انداز ۱۴۰۴؛ تحول ‌و ارتقاء‌ علوم‌ انسانی؛ نقشه‏ جامع علمی؛ پیشرفت‏ علمی و فناوری؛ تولید علم؛ حمایت از تولید ملی؛ مرجعیت علمی؛ وجدان کاری؛ نخبه‌پروری؛ جهاد علمی؛ نظریه‌پردازی؛ شجاعت علمی؛ دانشگاه اسلامی؛ اولویت‌های علمی؛ پیشرفت علمی ایران؛ فرهنگ کار؛ عزم ملی؛ سیاستهای کلی نظام؛ اقتصاد دانش‌بنیان؛ چرخه علم و فناوری؛ تحقیق و توسعه‌ی فناوری؛ ,eblaghie
26440,ابلاغ سیاست‌های کلی «جمعیت»,1393/02/30,اقتدار ملی؛ هویت ملی؛ هویت اسلامی؛ سیاستهای کلی نظام؛ افزایش جمعیت؛ سبک زندگی؛ فرزندآوری؛ ,eblaghie
26083,ابلاغ سیاست‌های کلی «سلامت»,1393/01/18,سیاستهای کلی نظام؛ ,eblaghie
25370,ابلاغ سیاست‌های کلی «اقتصاد مقاومتی»,1392/11/29,اصل ۴۴ قانون اساسی؛ اصلاح الگوی مصرف؛ سند چشم انداز ۱۴۰۴؛ عدالت اجتماعی؛ مفاسد اقتصادی؛ نقشه‏ جامع علمی؛ گفتمان‌سازی؛ تحریم اقتصادی؛ حمایت از تولید ملی؛ کالای داخلی؛ جهاد اقتصادی؛ اقتصاد مقاومتی؛ اقتصاد بدون نفت؛ سیاستهای کلی نظام؛ اقتصاد دانش‌بنیان؛ سال حماسه سیاسی و حماسه اقتصادی؛ ,eblaghie
